eval_loss_0,eval_macro_f1_0,opt_object_0,policy_0,sparsity,class_imbalance,dataset
0.3852056562900543,61.11111111111112,86.0,"('influential_minority_aug', 'eda', 0.8527535598371818)",500,0.85.,wiki
0.3705658912658691,52.02744089182899,86.92543411644536,"('random_aug', 'eda', 0.3711619333479137)",5000,0.85.,wiki
0.2021688520908355,90.79330980512506,95.5,"('influential_minority_aug', 'backtranslation', 0.7093616718969643)",2000,0.85.,amazon
0.2450313866138458,93.54322166896324,94.28950863213812,"('influential_aug', 'backtranslation', 0.9213195108764419)",5000,0.75.,amazon
1.04850971698761,62.85686949866054,64.13373860182371,"('full', 'eda', 0.5243102474375423)",2000,0.50.,wiki
0.6660701036453247,68.28644501278774,69.0,"('random_aug', 'eda', 0.30103487597849543)",500,0.50.,wiki
0.5621984601020813,45.94594594594594,85.0,"('random_forget_majority', 'backtranslation', 0.3481906122550982)",500,0.85.,amazon
0.2881726622581482,92.999299929993,93.0,"('influential_aug', 'backtranslation', 0.7452728892751269)",500,0.50.,amazon
0.5287684202194214,47.6474633421327,85.25,"('influential_majority_forget', 'backtranslation', 0.34373002436056277)",2000,0.85.,wiki
0.1790197193622589,94.999499949995,95.0,"('random_forget', 'eda', 0.89262097925028)",2000,0.50.,amazon
0.2452075183391571,94.18254179040812,94.18254764292878,"('random_forget', 'backtranslation', 0.8437611646715154)",5000,0.50.,amazon
0.1746561229228973,92.928757229083,94.75,"('influential_majority_forget', 'eda', 0.37891970400428826)",2000,0.75.,amazon
0.5377494096755981,47.54870477413829,75.5,"('random_forget', 'backtranslation', 0.7793739869793536)",2000,0.75.,wiki
0.4437713623046875,54.244259362444645,83.8452787258248,"('random_forget_majority', 'backtranslation', 0.3788613103736257)",5000,0.75.,wiki
0.3229145109653473,92.46470268802608,94.79326186830016,"('random_forget', 'eda', 0.27986125156926167)",5000,0.85.,amazon
0.2147151976823806,90.53926206244088,93.0,"('full', 'eda', 0.6650770338179942)",500,0.75.,amazon
0.7635920643806458,64.78107789204628,71.86009538950715,"('full_minority', 'eda', 0.030720424436596394)",5000,0.50.,wiki
0.5797869563102722,63.63636363636365,79.0,"('influential_minority_aug', 'eda', 0.634729576756899)",500,0.75.,wiki
